Category ,Question No,Question_criteria,Question,Pop Up,Act,Keywords,How To avoid Penalty,Penalty Applicable,Max Penalty (in lakhs INR),penalty Keywords,Compulsory Keywords,Reason,Industry best practice,Certification,f
About The company,1,0,Are you a registered entity?,Are you a registered entity?,,"(1, Yes), (2, No)","Register your company as a Private Limited, Limited Liability Partnership or Sole Proprietorship ",,0,2,1,,,,"(2, Company Incorporation Document)"
About the company,2,0,What all business activities are carried out by your company?,You can select multiple options. The company must select appropriate activities based on their operations to avoid penalties.,,"(1, borrow, raise or take up money), (2, act as agents for any Government or local authority or any other person), (3, manage and sell any property which is in the possession of your company), (4, inquire, construct, maintain and alter buildings for the company purpose), (5, None of the Above)","The business activities you want to pursue do not fall under the ambit of the Banking Regulation Act, 1949. You can either change your business activities or contact us for further guidance regarding your existing activities.",,100,5,"1,2",,"(1, Establish Credit Risk Assessment) , (2, Establish a Performance Metrics) , (3, Use standardized methods for accurate property valuation) ","(2, ISO 37001 - Anti-Bribery Management System",
Legal Compliance,3,0,Have you implemented KYC (Know Your Customer) procedures as per the PMLA (Prevention of Money Laundering Act)?,"If you have not done that and need assistance, please select No.",,"(1, Yes), (2, No)","KYC procedures are one of the most important parts of protecting your business from penalties. If you don't know how the RBI wants you to follow KYC procedures, contact us.",,5,2,1,,,,"(2, KYC documents, AML policy, transaction monitoring reports)"
Legal Compliance,4,0,Have you established a framework for customer due diligence (CDD) as per RBI guidelines?,"Customer Due Diligence (CDD), as per the Reserve Bank of India (RBI) guidelines, refers to the process of identifying and verifying the identity of customers and beneficial owners using reliable and independent sources of identification. If you need assistance with this, please select NO",,"(1, Yes), (2, No)","To establish a Customer Due Diligence (CDD) framework in accordance with RBI guidelines, develop a comprehensive CDD policy approved by your Board that outlines procedures for customer identification and verification. Conduct risk assessments to categorize customers and apply enhanced due diligence for high-risk profiles. Implement ongoing monitoring of transactions, maintain accurate records, and provide staff training on compliance and recognizing suspicious activities. Regularly review the framework to adapt to regulatory changes and ensure effective risk management. If you need assistance with this, kindly contact us.",,1,2,1,,Implement CDD Policy,,"(2, KYC documents, CDD policy, customer risk assessment records)"
Legal Compliance,5,0,"Do you follow RBI prescribed procedure for changing the structure and operations of your payment system? 
","Here is the RBI procedure:
You must obtain approval from the RBI before changing the structure or operation of the payment system. After the RBI grants approval, you are required to provide a 30-day notice of these changes to the users.
If you need any guidance, just select NO",,"(1, Yes), (2, No)","You must obtain approval from the RBI before changing the structure or operation of the payment system. After the RBI grants approval, you are required to provide a 30-day notice of these changes to users. If you need any guidance, kindly contact us.",,100,2,1,,,,"(2, Notice for structural change of Payment System)"
Legal Compliance,6,0,List the duties you comply with towards your users.,"Choose all the duties you’re complying with. If you’re hearing about these for the first time, no worries—we’ve got you covered. Just select None of the above, and we will guide you.",,"(1, Transparency), (2, Consent Management), (3, Grievance Redressal Mechanism), (4, Regular Audits and Monitoring), (5, Data Retention and Deletion Policies), (6, Training and Awareness), (7, None)","There are some duties you have toward your users, and it seems you may not be aware of them. Here is the list of duties:

Be transparent.
Obtain consent before collecting data.
Have a grievance redressal mechanism.
Conduct regular audits and establish a data retention policy.
If you need assistance in fulfilling any of these duties, kindly contact us!",,100,7,,,,ISO/IEC 27001,Consent Forms
Legal Compliance,7,1.1,Do you have a Board of Directors?,You need to have atleast two Board of directors if you are registered as Private Limited,,"(1, Yes), (2, No)",Appoint two Indian resident board of directors and you will be all set.,,1,2,1,,,,
Legal Compliance,8,1.1,How many days does your director stay in India?,You need to count the days out of whole year,,"(1, Less than 182 days), (2, 182 days), (3, More than 182 days)",It's a matter of residency. Try to find a board director who lives in India for atleast 182 days,,5,1,,,,,
Legal Compliance,9,0,What is the size of the company? ,"Select only the full time employes. Different thresholds trigger different compliance requirements, such as employee benefits, statutory audits, and regulatory filings.",,"(1, Five to Nine), (2, 10 or more), (3, One Employee), (4, 0 Employees)",,,0,,,,,,
Legal Compliance,10,"(9.1 , 9.2 , 9.3)",Have you registered your establishment with the local authorities within the specified time frame i.e 30 or 60 days of commencing operations?,Herein local authorities will refer to authorities at the place of registration,,"(1, Yes), (2, No)",Timely registration within the first 30-60 days of business operations is mandatorey. Need assisstance with this? Contact us,,0.1,2,1,,Registration with local authority is mandatory to legally operate the registered business.,,
Legal Compliance,11,"(9.1 , 9.2)",Are you complying with employee welfare fund contributions?,"The Employee Welfare Fund in India is established under various state-specific Labour Welfare Fund Acts, aimed at enhancing the welfare of workers through contributions from employers, employees, and sometimes the government. These funds are utilized for providing essential services such as housing, medical care, education, and recreational facilities to workers and their families. ",,"(1, Yes), (2, No)",Set up a employee welfare fund,,0.1,2,1,,Contribution to welfare employee fund is mandatory to ensure welfare for employees.,,
Legal Compliance,12,"(9.1 , 9.2 , 9.3)",Are you ensuring that employees do not work more than the maximum permissible working hours?,Employees should be not be working for more than 48 hours per week.,,"(1, Yes), (2, No)",Ensures employee well-being by regulating working hours.,,0.1,2,1,,Limit work hours to 48 per week.,,
Legal Compliance,13,"(9.1 , 9.2 , 9.3)","Are you providing the mandated leave entitlements (e.g., casual leave, earned leave) as per the employee  duration of service?",Leave entitlements are legally required for employee well-being.,,"(1, Yes), (2, No)",Ensure employees get adequate leave annually,,0.1,2,1,,,,
Legal Compliance,14,"(9.1 , 9.2 , 9.3)","Are you maintaining proper records of employee attendance, wages, etc.?",Proper record can be physical or digital,,"(1, Yes), (2, No)",Make a verified and authorized record of employees,,0.1,2,1,,,,
